Nationality,Single Age Group,Five-Year Age Group,Governorate,Region,Gender,Population
Non-Saudi,77,75-79,,,Female,3
Saudi,77,75-79,,,Female,12
Saudi,77,75-79,,,Female,78
Non-Saudi,77,75-79,,,Female,6
Saudi,77,75-79,,,Female,34
Non-Saudi,77,75-79,,,Female,3
Saudi,77,75-79,,,Female,6
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,30
Non-Saudi,77,75-79,,,Female,3
Saudi,77,75-79,,,Female,24
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,74
Non-Saudi,77,75-79,,,Female,7
Saudi,77,75-79,,,Female,35
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,9
Saudi,77,75-79,,,Female,100
Non-Saudi,77,75-79,,,Female,7
Saudi,77,75-79,,,Female,27
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,35
Saudi,77,75-79,,,Female,101
Non-Saudi,77,75-79,,,Female,6
Saudi,77,75-79,,,Female,1635
Non-Saudi,77,75-79,,,Female,364
Saudi,77,75-79,,,Female,15
Saudi,77,75-79,,,Female,24
Non-Saudi,77,75-79,,,Female,5
Saudi,77,75-79,,,Female,12
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,40
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,55
Non-Saudi,77,75-79,,,Female,3
Saudi,77,75-79,,,Female,18
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,5
Saudi,77,75-79,,,Female,8
Saudi,77,75-79,,,Female,22
Saudi,77,75-79,,,Female,13
Non-Saudi,77,75-79,,,Female,3
Saudi,77,75-79,,,Female,26
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,7
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,34
Saudi,77,75-79,,,Female,5
Saudi,77,75-79,,,Female,37
Saudi,77,75-79,,,Female,14
Saudi,77,75-79,,,Female,38
Saudi,77,75-79,,,Female,24
Non-Saudi,77,75-79,,,Female,4
Saudi,77,75-79,,,Female,52
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,4
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,20
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,30
Saudi,77,75-79,,,Female,220
Non-Saudi,77,75-79,,,Female,25
Saudi,77,75-79,,,Female,21
Saudi,77,75-79,,,Female,14
Saudi,77,75-79,,,Female,11
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,80
Non-Saudi,77,75-79,,,Female,9
Saudi,77,75-79,,,Female,12
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,34
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,33
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,25
Saudi,77,75-79,,,Female,603
Non-Saudi,77,75-79,,,Female,127
Saudi,77,75-79,,,Female,42
Saudi,77,75-79,,,Female,49
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,47
Saudi,77,75-79,,,Female,32
Saudi,77,75-79,,,Female,106
Non-Saudi,77,75-79,,,Female,6
Saudi,77,75-79,,,Female,379
Non-Saudi,77,75-79,,,Female,11
Saudi,77,75-79,,,Female,31
Non-Saudi,77,75-79,,,Female,6
Saudi,77,75-79,,,Female,86
Non-Saudi,77,75-79,,,Female,24
Saudi,77,75-79,,,Female,15
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,311
Non-Saudi,77,75-79,,,Female,51
Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,219
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,15
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,10
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,98
Non-Saudi,77,75-79,,,Female,12
Saudi,77,75-79,,,Female,15
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,9
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,5
Saudi,77,75-79,,,Female,37
Saudi,77,75-79,,,Female,34
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,152
Non-Saudi,77,75-79,,,Female,13
Saudi,77,75-79,,,Female,22
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,14
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,25
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,90
Non-Saudi,77,75-79,,,Female,7
Saudi,77,75-79,,,Female,70
Non-Saudi,77,75-79,,,Female,8
Saudi,77,75-79,,,Female,5
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,27
Saudi,77,75-79,,,Female,33
Non-Saudi,77,75-79,,,Female,3
Saudi,77,75-79,,,Female,11
Saudi,77,75-79,,,Female,15
Non-Saudi,77,75-79,,,Female,3
Saudi,77,75-79,,,Female,48
Non-Saudi,77,75-79,,,Female,6
Saudi,77,75-79,,,Female,11
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,47
Non-Saudi,77,75-79,,,Female,5
Saudi,77,75-79,,,Female,55
Non-Saudi,77,75-79,,,Female,11
Saudi,77,75-79,,,Female,76
Non-Saudi,77,75-79,,,Female,6
Saudi,77,75-79,,,Female,128
Non-Saudi,77,75-79,,,Female,18
Saudi,77,75-79,,,Female,43
Non-Saudi,77,75-79,,,Female,11
Saudi,77,75-79,,,Female,11
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,23
Saudi,77,75-79,,,Female,13
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,59
Saudi,77,75-79,,,Female,11
Saudi,77,75-79,,,Female,17
Saudi,77,75-79,,,Female,10
Saudi,77,75-79,,,Female,11
Saudi,77,75-79,,,Female,35
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,190
Non-Saudi,77,75-79,,,Female,10
Saudi,77,75-79,,,Female,8
Saudi,77,75-79,,,Female,12
Saudi,77,75-79,,,Female,204
Non-Saudi,77,75-79,,,Female,11
Saudi,77,75-79,,,Female,46
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,5
Saudi,77,75-79,,,Female,9
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,12
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,47
Saudi,77,75-79,,,Female,36
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,39
Saudi,77,75-79,,,Female,47
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,118
Saudi,77,75-79,,,Female,27
Saudi,77,75-79,,,Female,19
Saudi,77,75-79,,,Female,253
Non-Saudi,77,75-79,,,Female,18
Saudi,77,75-79,,,Female,45
Non-Saudi,77,75-79,,,Female,3
Saudi,77,75-79,,,Female,44
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,14
Saudi,77,75-79,,,Female,21
Saudi,77,75-79,,,Female,130
Saudi,77,75-79,,,Female,37
Non-Saudi,77,75-79,,,Female,3
Saudi,77,75-79,,,Female,80
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,25
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,501
Non-Saudi,77,75-79,,,Female,42
Saudi,77,75-79,,,Female,69
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,144
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,19
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,72
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,25
Saudi,77,75-79,,,Female,33
Non-Saudi,77,75-79,,,Female,3
Saudi,77,75-79,,,Female,30
Saudi,77,75-79,,,Female,1178
Non-Saudi,77,75-79,,,Female,643
Saudi,77,75-79,,,Female,45
Saudi,77,75-79,,,Female,64
Non-Saudi,77,75-79,,,Female,2
Saudi,77,75-79,,,Female,38
Non-Saudi,77,75-79,,,Female,3
Saudi,77,75-79,,,Female,602
Non-Saudi,77,75-79,,,Female,297
Saudi,77,75-79,,,Female,45
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,10
Saudi,77,75-79,,,Female,9
Saudi,77,75-79,,,Female,18
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,,,Female,7
Saudi,77,75-79,,,Female,26
Non-Saudi,77,75-79,,,Female,5
Saudi,77,75-79,,,Female,142
Non-Saudi,77,75-79,,,Female,16
Saudi,77,75-79,,,Female,15
Non-Saudi,77,75-79,,,Female,1
Saudi,77,75-79,Al Bahah (Emirate HQ),Al Bahah,Male,25
Non-Saudi,77,75-79,Al Bahah (Emirate HQ),Al Bahah,Male,8
Saudi,77,75-79,Al Hujrah,Al Bahah,Male,10
Saudi,77,75-79,Al Aqiq,Al Bahah,Male,19
Non-Saudi,77,75-79,Al Aqiq,Al Bahah,Male,1
Saudi,77,75-79,,Al Bahah,Male,21
Non-Saudi,77,75-79,,Al Bahah,Male,1
Saudi,77,75-79,,Al Bahah,Male,28
Non-Saudi,77,75-79,,Al Bahah,Male,3
Saudi,77,75-79,,Al Bahah,Male,15
Non-Saudi,77,75-79,,Al Bahah,Male,1
Saudi,77,75-79,,Al Bahah,Male,23
Non-Saudi,77,75-79,,Al Bahah,Male,3
Saudi,77,75-79,,Al Bahah,Male,11
Non-Saudi,77,75-79,,Al Bahah,Male,2
Saudi,77,75-79,,Al Bahah,Male,16
Saudi,77,75-79,,Al Bahah,Male,25
Saudi,77,75-79,,,Male,47
Non-Saudi,77,75-79,,,Male,6
Saudi,77,75-79,,,Male,15
Saudi,77,75-79,,,Male,71
Non-Saudi,77,75-79,,,Male,12
Saudi,77,75-79,,,Male,22
Saudi,77,75-79,,,Male,10
Saudi,77,75-79,,,Male,38
Non-Saudi,77,75-79,,,Male,4
Saudi,77,75-79,,,Male,13
Non-Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,72
Non-Saudi,77,75-79,,,Male,7
Saudi,77,75-79,,,Male,26
Saudi,77,75-79,,,Male,7
Saudi,77,75-79,,,Male,111
Non-Saudi,77,75-79,,,Male,14
Saudi,77,75-79,,,Male,19
Non-Saudi,77,75-79,,,Male,8
Saudi,77,75-79,,,Male,39
Non-Saudi,77,75-79,,,Male,9
Saudi,77,75-79,,,Male,104
Non-Saudi,77,75-79,,,Male,5
Saudi,77,75-79,,,Male,1741
Non-Saudi,77,75-79,,,Male,746
Saudi,77,75-79,,,Male,22
Saudi,77,75-79,,,Male,32
Non-Saudi,77,75-79,,,Male,5
Saudi,77,75-79,,,Male,14
Non-Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,4
Non-Saudi,77,75-79,,,Male,3
Saudi,77,75-79,,,Male,36
Non-Saudi,77,75-79,,,Male,3
Saudi,77,75-79,,,Male,59
Non-Saudi,77,75-79,,,Male,8
Saudi,77,75-79,,,Male,27
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,5
Saudi,77,75-79,,,Male,8
Non-Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,23
Non-Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,19
Non-Saudi,77,75-79,,,Male,3
Saudi,77,75-79,,,Male,32
Non-Saudi,77,75-79,,,Male,4
Saudi,77,75-79,,,Male,11
Saudi,77,75-79,,,Male,35
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,8
Saudi,77,75-79,,,Male,41
Non-Saudi,77,75-79,,,Male,3
Saudi,77,75-79,,,Male,15
Saudi,77,75-79,,,Male,24
Non-Saudi,77,75-79,,,Male,5
Saudi,77,75-79,,,Male,28
Non-Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,43
Non-Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,19
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,20
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,271
Non-Saudi,77,75-79,,,Male,23
Saudi,77,75-79,,,Male,17
Saudi,77,75-79,,,Male,6
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,15
Saudi,77,75-79,,,Male,91
Non-Saudi,77,75-79,,,Male,10
Saudi,77,75-79,,,Male,12
Saudi,77,75-79,,,Male,40
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,32
Non-Saudi,77,75-79,,,Male,3
Saudi,77,75-79,,,Male,15
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,482
Non-Saudi,77,75-79,,,Male,165
Saudi,77,75-79,,,Male,42
Non-Saudi,77,75-79,,,Male,3
Saudi,77,75-79,,,Male,35
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,33
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,17
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,73
Non-Saudi,77,75-79,,,Male,28
Saudi,77,75-79,,,Male,356
Non-Saudi,77,75-79,,,Male,46
Saudi,77,75-79,,,Male,24
Non-Saudi,77,75-79,,,Male,14
Saudi,77,75-79,,,Male,81
Non-Saudi,77,75-79,,,Male,53
Saudi,77,75-79,,,Male,27
Non-Saudi,77,75-79,,,Male,19
Saudi,77,75-79,,,Male,288
Non-Saudi,77,75-79,,,Male,128
Saudi,77,75-79,,,Male,5
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,194
Non-Saudi,77,75-79,,,Male,5
Saudi,77,75-79,,,Male,23
Non-Saudi,77,75-79,,,Male,15
Saudi,77,75-79,,,Male,13
Non-Saudi,77,75-79,,,Male,9
Saudi,77,75-79,,,Male,159
Non-Saudi,77,75-79,,,Male,30
Saudi,77,75-79,,,Male,6
Non-Saudi,77,75-79,,,Male,4
Saudi,77,75-79,,,Male,11
Non-Saudi,77,75-79,,,Male,9
Saudi,77,75-79,,,Male,5
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,20
Non-Saudi,77,75-79,,,Male,3
Saudi,77,75-79,,,Male,39
Non-Saudi,77,75-79,,,Male,3
Saudi,77,75-79,,,Male,150
Non-Saudi,77,75-79,,,Male,24
Saudi,77,75-79,,,Male,17
Saudi,77,75-79,,,Male,11
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,19
Saudi,77,75-79,,,Male,89
Non-Saudi,77,75-79,,,Male,16
Saudi,77,75-79,,,Male,71
Non-Saudi,77,75-79,,,Male,22
Saudi,77,75-79,,,Male,6
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,37
Non-Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,40
Non-Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,9
Saudi,77,75-79,,,Male,20
Saudi,77,75-79,,,Male,43
Non-Saudi,77,75-79,,,Male,7
Saudi,77,75-79,,,Male,25
Non-Saudi,77,75-79,,,Male,4
Saudi,77,75-79,,,Male,40
Non-Saudi,77,75-79,,,Male,7
Saudi,77,75-79,,,Male,32
Non-Saudi,77,75-79,,,Male,14
Saudi,77,75-79,,,Male,78
Non-Saudi,77,75-79,,,Male,20
Saudi,77,75-79,,,Male,121
Non-Saudi,77,75-79,,,Male,25
Saudi,77,75-79,,,Male,26
Non-Saudi,77,75-79,,,Male,13
Saudi,77,75-79,,,Male,15
Non-Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,21
Saudi,77,75-79,,,Male,18
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,42
Non-Saudi,77,75-79,,,Male,3
Saudi,77,75-79,,,Male,9
Saudi,77,75-79,,,Male,17
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,10
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,7
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,42
Non-Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,187
Non-Saudi,77,75-79,,,Male,27
Saudi,77,75-79,,,Male,14
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,13
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,214
Non-Saudi,77,75-79,,,Male,23
Saudi,77,75-79,,,Male,46
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,6
Saudi,77,75-79,,,Male,18
Saudi,77,75-79,,,Male,10
Saudi,77,75-79,,,Male,51
Non-Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,43
Saudi,77,75-79,,,Male,48
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,46
Saudi,77,75-79,,,Male,121
Non-Saudi,77,75-79,,,Male,4
Saudi,77,75-79,,,Male,17
Non-Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,19
Saudi,77,75-79,,,Male,211
Non-Saudi,77,75-79,,,Male,27
Saudi,77,75-79,,,Male,55
Non-Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,31
Non-Saudi,77,75-79,,,Male,4
Saudi,77,75-79,,,Male,20
Saudi,77,75-79,,,Male,15
Non-Saudi,77,75-79,,,Male,3
Saudi,77,75-79,,,Male,171
Non-Saudi,77,75-79,,,Male,8
Saudi,77,75-79,,,Male,24
Saudi,77,75-79,,,Male,36
Non-Saudi,77,75-79,,,Male,6
Saudi,77,75-79,,,Male,27
Non-Saudi,77,75-79,,,Male,4
Saudi,77,75-79,,,Male,440
Non-Saudi,77,75-79,,,Male,57
Saudi,77,75-79,,,Male,77
Non-Saudi,77,75-79,,,Male,4
Saudi,77,75-79,,,Male,117
Non-Saudi,77,75-79,,,Male,8
Saudi,77,75-79,,,Male,12
Saudi,77,75-79,,,Male,47
Non-Saudi,77,75-79,,,Male,3
Saudi,77,75-79,,,Male,19
Saudi,77,75-79,,,Male,24
Non-Saudi,77,75-79,,,Male,13
Saudi,77,75-79,,,Male,32
Non-Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,920
Non-Saudi,77,75-79,,,Male,769
Saudi,77,75-79,,,Male,31
Non-Saudi,77,75-79,,,Male,2
Saudi,77,75-79,,,Male,37
Non-Saudi,77,75-79,,,Male,3
Saudi,77,75-79,,,Male,36
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,573
Non-Saudi,77,75-79,,,Male,424
Saudi,77,75-79,,,Male,30
Saudi,77,75-79,,,Male,1
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,2
Non-Saudi,77,75-79,,,Male,1
Saudi,77,75-79,,,Male,9
Saudi,77,75-79,,,Male,3
Saudi,77,75-79,,,Male,14
Non-Saudi,77,75-79,,,Male,15
Saudi,77,75-79,,,Male,129
Non-Saudi,77,75-79,,,Male,38
Saudi,77,75-79,,,Male,4
Saudi,78,75-79,Al Bahah (Emirate HQ),Al Bahah,Female,29
Non-Saudi,78,75-79,Al Bahah (Emirate HQ),Al Bahah,Female,1
Saudi,78,75-79,Al Hujrah,Al Bahah,Female,18
Saudi,78,75-79,Al Aqiq,Al Bahah,Female,29
Saudi,78,75-79,,Al Bahah,Female,16
Saudi,78,75-79,,Al Bahah,Female,36
Non-Saudi,78,75-79,,Al Bahah,Female,2
Saudi,78,75-79,,Al Bahah,Female,25
Saudi,78,75-79,,Al Bahah,Female,53
Non-Saudi,78,75-79,,Al Bahah,Female,2
Saudi,78,75-79,,Al Bahah,Female,14
Saudi,78,75-79,,Al Bahah,Female,11
Saudi,78,75-79,,Al Bahah,Female,24
Saudi,78,75-79,,,Female,64
Non-Saudi,78,75-79,,,Female,2
Saudi,78,75-79,,,Female,17
Non-Saudi,78,75-79,,,Female,2
Saudi,78,75-79,,,Female,60
Non-Saudi,78,75-79,,,Female,2
Saudi,78,75-79,,,Female,36
Non-Saudi,78,75-79,,,Female,2
Saudi,78,75-79,,,Female,10
Saudi,78,75-79,,,Female,35
Non-Saudi,78,75-79,,,Female,4
Saudi,78,75-79,,,Female,11
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,72
Saudi,78,75-79,,,Female,29
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,6
Saudi,78,75-79,,,Female,105
Non-Saudi,78,75-79,,,Female,5
Saudi,78,75-79,,,Female,30
Non-Saudi,78,75-79,,,Female,2
Saudi,78,75-79,,,Female,36
Non-Saudi,78,75-79,,,Female,2
Saudi,78,75-79,,,Female,98
Non-Saudi,78,75-79,,,Female,2
Saudi,78,75-79,,,Female,1456
Non-Saudi,78,75-79,,,Female,225
Saudi,78,75-79,,,Female,19
Saudi,78,75-79,,,Female,30
Non-Saudi,78,75-79,,,Female,2
Saudi,78,75-79,,,Female,8
Saudi,78,75-79,,,Female,3
Saudi,78,75-79,,,Female,39
Non-Saudi,78,75-79,,,Female,2
Saudi,78,75-79,,,Female,51
Non-Saudi,78,75-79,,,Female,3
Saudi,78,75-79,,,Female,11
Saudi,78,75-79,,,Female,5
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,4
Saudi,78,75-79,,,Female,13
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,16
Saudi,78,75-79,,,Female,19
Non-Saudi,78,75-79,,,Female,3
Saudi,78,75-79,,,Female,3
Saudi,78,75-79,,,Female,28
Saudi,78,75-79,,,Female,8
Saudi,78,75-79,,,Female,35
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,14
Saudi,78,75-79,,,Female,29
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,26
Saudi,78,75-79,,,Female,61
Saudi,78,75-79,,,Female,3
Saudi,78,75-79,,,Female,23
Saudi,78,75-79,,,Female,21
Saudi,78,75-79,,,Female,202
Non-Saudi,78,75-79,,,Female,13
Saudi,78,75-79,,,Female,22
Saudi,78,75-79,,,Female,15
Saudi,78,75-79,,,Female,5
Saudi,78,75-79,,,Female,72
Non-Saudi,78,75-79,,,Female,3
Saudi,78,75-79,,,Female,9
Saudi,78,75-79,,,Female,31
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,41
Saudi,78,75-79,,,Female,24
Saudi,78,75-79,,,Female,545
Non-Saudi,78,75-79,,,Female,72
Saudi,78,75-79,,,Female,36
Saudi,78,75-79,,,Female,46
Saudi,78,75-79,,,Female,34
Saudi,78,75-79,,,Female,19
Saudi,78,75-79,,,Female,99
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,364
Non-Saudi,78,75-79,,,Female,9
Saudi,78,75-79,,,Female,19
Non-Saudi,78,75-79,,,Female,4
Saudi,78,75-79,,,Female,83
Non-Saudi,78,75-79,,,Female,13
Saudi,78,75-79,,,Female,20
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,286
Non-Saudi,78,75-79,,,Female,39
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,271
Non-Saudi,78,75-79,,,Female,7
Saudi,78,75-79,,,Female,12
Saudi,78,75-79,,,Female,13
Saudi,78,75-79,,,Female,94
Non-Saudi,78,75-79,,,Female,4
Saudi,78,75-79,,,Female,15
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,11
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,15
Saudi,78,75-79,,,Female,38
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,43
Saudi,78,75-79,,,Female,146
Non-Saudi,78,75-79,,,Female,6
Saudi,78,75-79,,,Female,20
Saudi,78,75-79,,,Female,15
Saudi,78,75-79,,,Female,21
Non-Saudi,78,75-79,,,Female,2
Saudi,78,75-79,,,Female,91
Non-Saudi,78,75-79,,,Female,7
Saudi,78,75-79,,,Female,75
Non-Saudi,78,75-79,,,Female,8
Saudi,78,75-79,,,Female,9
Saudi,78,75-79,,,Female,23
Saudi,78,75-79,,,Female,32
Saudi,78,75-79,,,Female,7
Saudi,78,75-79,,,Female,27
Saudi,78,75-79,,,Female,46
Non-Saudi,78,75-79,,,Female,7
Saudi,78,75-79,,,Female,19
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,37
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,50
Non-Saudi,78,75-79,,,Female,8
Saudi,78,75-79,,,Female,65
Non-Saudi,78,75-79,,,Female,6
Saudi,78,75-79,,,Female,95
Non-Saudi,78,75-79,,,Female,15
Saudi,78,75-79,,,Female,44
Non-Saudi,78,75-79,,,Female,5
Saudi,78,75-79,,,Female,9
Saudi,78,75-79,,,Female,14
Saudi,78,75-79,,,Female,20
Saudi,78,75-79,,,Female,40
Saudi,78,75-79,,,Female,9
Saudi,78,75-79,,,Female,7
Saudi,78,75-79,,,Female,9
Non-Saudi,78,75-79,,,Female,2
Saudi,78,75-79,,,Female,11
Saudi,78,75-79,,,Female,28
Non-Saudi,78,75-79,,,Female,3
Saudi,78,75-79,,,Female,134
Non-Saudi,78,75-79,,,Female,12
Saudi,78,75-79,,,Female,13
Saudi,78,75-79,,,Female,6
Saudi,78,75-79,,,Female,175
Non-Saudi,78,75-79,,,Female,8
Saudi,78,75-79,,,Female,49
Saudi,78,75-79,,,Female,6
Saudi,78,75-79,,,Female,20
Saudi,78,75-79,,,Female,13
Saudi,78,75-79,,,Female,48
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,45
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,28
Saudi,78,75-79,,,Female,51
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,108
Non-Saudi,78,75-79,,,Female,2
Saudi,78,75-79,,,Female,28
Saudi,78,75-79,,,Female,19
Saudi,78,75-79,,,Female,213
Non-Saudi,78,75-79,,,Female,9
Saudi,78,75-79,,,Female,39
Saudi,78,75-79,,,Female,43
Saudi,78,75-79,,,Female,24
Saudi,78,75-79,,,Female,6
Saudi,78,75-79,,,Female,113
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,27
Saudi,78,75-79,,,Female,51
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,25
Saudi,78,75-79,,,Female,503
Non-Saudi,78,75-79,,,Female,37
Saudi,78,75-79,,,Female,63
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,154
Non-Saudi,78,75-79,,,Female,3
Saudi,78,75-79,,,Female,13
Saudi,78,75-79,,,Female,50
Saudi,78,75-79,,,Female,20
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,32
Non-Saudi,78,75-79,,,Female,6
Saudi,78,75-79,,,Female,32
Saudi,78,75-79,,,Female,1021
Non-Saudi,78,75-79,,,Female,381
Saudi,78,75-79,,,Female,46
Saudi,78,75-79,,,Female,58
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,27
Saudi,78,75-79,,,Female,537
Non-Saudi,78,75-79,,,Female,164
Saudi,78,75-79,,,Female,37
Non-Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,9
Saudi,78,75-79,,,Female,12
Saudi,78,75-79,,,Female,20
Saudi,78,75-79,,,Female,1
Saudi,78,75-79,,,Female,25
Non-Saudi,78,75-79,,,Female,4
Saudi,78,75-79,,,Female,151
Non-Saudi,78,75-79,,,Female,4
